iter	Passed	Remaining
403	8294	12236
404	8307	12205
405	8321	12174
406	8333	12142
407	8347	12111
408	8371	12096
409	8388	12071
410	8403	12042
411	8431	12033
412	8458	12022
413	8476	11997
414	8489	11967
415	8514	11952
416	8537	11935
417	8553	11909
418	8571	11885
419	8587	11858
420	8605	11834
421	8621	11808
422	8641	11787
423	8660	11765
424	8677	11740
425	8688	11707
426	8706	11683
427	8723	11658
428	8738	11630
429	8753	11603
430	8780	11591
431	8794	11563
432	8807	11533
433	8829	11514
434	8849	11494
435	8862	11464
436	8879	11439
437	8896	11415
438	8914	11391
439	8928	11363
440	8943	11336
441	8972	11326
442	8984	11296
443	9008	11280
444	9026	11258
445	9040	11229
446	9052	11199
447	9063	11167
448	9077	11139
449	9093	11114
450	9106	11085
451	9121	11058
452	9134	11030
453	9151	11006
454	9160	10972
455	9177	10948
456	9190	10920
457	9211	10900
458	9230	10879
459	9242	10849
460	9258	10824
461	9278	10805
462	9292	10777
463	9303	10747
464	9317	10720
465	9339	10702
466	9362	10685
467	9374	10655
468	9394	10636
469	9406	10607
470	9437	10599
471	9453	10574
472	9466	10547
473	9484	10524
474	9501	10501
475	9511	10470
476	952476	9603477	954477	9621478	956478	9645479	958479	9660480	959480	9679481	961481	9699482	962482	9714	10398
483	9731	10375
484	9747	10350
485	9769	10332
486	9793	10316
487	9805	10287
488	9824489	975489	9844490	978490	9860491	979491	9878492	981492	9892493	982493	9911494	984494	9925495	985495	9941496	988496	995497	9892497	99498	9911	498	9499	9921	9499	10011	10011
50501	9959	98805502	9972	9853
503	9992	9834
5503	10089	99295504	10112	99115505	10134	98945506	10151	98715507	10173	9853
508	10193	9833
509	10216	9815
510	10224	9784512	10171	9655
5512	10267	97475513	10279	97195514	10301	97015515	10318	96785516	10344	96645517	10364	96445518	10385	96255519	10416	96155520	10438	95975521	10461	9579523	10422	9467
524	10441	9446
525	10481	9445
526	10495	9420
527	10515	9400
528	10536	9381
529	10555	9360
530	10588	9351
531	10610	9334
532	10624	9308
533	10632	9278
534	10645	9252
535	10664	9232
5535	10748	93045536	10770	92865537	10791	92675538	10808	92445539	10821	92185540	10846	92025541	10869	91845542	10904	9177
543	10927	9160
544	10961	9151
545	10979	9129
546	11002	9111
547	11017	9087
548	11028	9059
549	11054	9044
550	11065	9017
551	11080	8992
552	11097	8969
553	11139	8967
554	11152	8942
555	11174	8923
556	11199	8907
557	11217	8885
558	11258	8881
559	11275	8858
560	11294	8838
561	11309	8814
562	11336	8799
563	11354	8777
564	11375	8757
565	11391	8734
566	11461	8753
567	11480	8731
568	11504	8714
569	11520	8691
570	11542	8672
571	11576	8662
572	11604	8647
573	11627	8629
574	11642	8605
575	11674	8593
576	11690	8570
577	11712	8551
578	11746	8541
579	11773	8525
580	11792	8504
581	11810	8482
582	11823	8456
583	11844	8437
584	11884	8430
585	11908	8413
586	11929	8393
587	11944	8369
588	11962	8347
589	11998	8337
590	12010	8311
591	12050	8304
592	12072	8286
593	12091	8264
594	12113	8245
595	12140	8229
596	12165	8212
597	12187	8192
598	12208	8172
599	12227	8151
600	12248	8131
601	12258	8104
602	12270	8078
603	12294	8060
604	12314	8039
605	12331	8017
606	12349	7995
607	12372	7976
608	12387	7953
609	12397	7926
610	12407	7899
611	12425	78776612	12447	78586613	12461	78346614	12480	78126615	12497	77906616	12520	77716617	12544	77546618	12556	77286619	12572	77056620	12594	7686622	12549	7594
6622	12628	76416623	12648	76216624	12662	7597626	12631	7514
627	12645	7490
628	12670	7473
629	12701	7459
630	12718	7437
631	12737	7416
632	12752	7393
633	12774	7374
634	12818	7367
635	12843	7350
636	12855	7325
637	12868	7301
638	12893	7284
639	12914	7264
640	12926	7239
641	12949	7221
642	12965	7198
643	12977	7173
644	12994	7151
645	13019	7134
6645	13081	71686646	13095	71446647	13119	71266648	13146	71106649	13165	70896650	13191	7071
651	13212	7051
652	13230	7030
653	13242	70056654	13262	69856655	13276	69616656	13293	69406657	13313	69196658	13341	69036659	13363	6884661	13359	6821
662	13377	6799
663	13397	6779
664	13424	6762
665	13434	6737
666	13446	6713
667	13456	6687
668	13473	6666
669	13489	6643
670	13507	6623
671	13520	6599
672	13530	6574
673	13549	6553
674	13563	6530
675	13578	6507
676	13590	6483
677	13608	6463
678	13623	6440
679	13638	6418
680	13656	6396
681	13718	6396
682	13755	6384
683	13779	6365
684	13797	6345
685	13812	6322
686	13829	6300
687	13846	6279
688	13861	6256
689	13882	6237
690	13891	6212
691	13904	6188
692	13918	6165
693	13930	6142
694	13937	6116
695	13945	6090
696	13955	6066
697	13975	6046
698	13987	6023
699	14005	6002
700	14020	5980
701	14032	5956
702	14047	5934
703	14058	5911
704	14073	5889
705	14083	5864
706	14095	5841
7706	14166	58707707	14180	5848
708	14194	58267709	14208	58037710	14223	57817711	14241	5760
712	14267	5743
713	14287	5723
714	14301	5700
715	14313	5677
716	14333	5657
717	14349	5635
718	14374	5617
719	14388	5595
720	14406	5574
721	14432	5557
722	14449	5536
723	14463	5513
724	14476	5491
725	14494	5470
726	14513	5450
727	14525	5427
728	14539	5404
729	14550	5381
730	14556	5356
731	14566	5333
732	14591	5314
733	14607	5293
734	14628	5274
735	14644	5252
736	14657	5230
737	14678	5211
738	14698	5191
739	14717	5170
740	14735	5150
741	14762	5132
742	14773	5110
743	14788	5088
744	14805	5067
745	14824	5047
746	14839	5025
747	14853	5004
748	14880	4986
749	14893	4964
750	14910	4943
751	14921	4920
752	14946	4902
753	14957	4880
754	14969	4857
755	14990	4838
756	15006	4817
757	15024	4796
758	15036	4774
759	15052	4753
760	15066	4731
761	15079	4709
762	15093	4688
763	15108	4666
764	15122	4645
765	15135	4623
766	15155	4603
767	15170	4582
768	15181	4560
769	15195	4539
770	15217	4519
771	15231	4498
772	15242	4476
773	15255	4454
774	15271	4433
775	15287	4412
776	15304	4392
777	15332	4375
778	15351	4355
779	15367	4334
780	15388	4314
781	15406	4294
782	15421	4273
783	15436	4252
784	15448	4231
785	15460	4209
786	15476	4188
787	15489	4167
788	15503	4146
789	15518	4125
790	15537	4105
791	15552	4084
792	15563	4062
793	15575	4041
794	15591	4020
795	15604	39997796	15621	3978
797	15639	3958
798	15661	3939
799	15681	3920
800	15700	3900
801	15709	3878
802	15725	3858
803	15740	3837
804	15765	3818
805	15778	3797
806	15795	3777
807	15814	3757
808	15840	3739
809	15865	3721
810	15885	3702
811	15903	3681
812	15923	3662
813	15937	3641
814	15948	3620
815	15960	3599
