iter	Logloss
0	0.67822602
1	0.6646672264
2	0.650486774
3	0.6391391894
4	0.6247470548
5	0.6093988603
66	0.59656095887	0.5866020608
8	0.5755241019
9	0.5664600527
10	0.555463163
11	0.5463130716
12	0.5388175197
13	0.5309516889
14	0.5237863823
15	0.5171118721
16	0.5105317474
17	0.5038477659
18	0.4967583613
19	0.4908823077
20	0.4836641382
21	0.479166806
22	0.4741642022
23	0.467490065
24	0.4613494303
25	0.4556089981
26	0.4515837284
27	0.4468846958
28	0.4427654224
29	0.4382982927
30	0.43370533
31	0.4299920541
32	0.4259322148
33	0.4219323362
34	0.4170346062
35	0.4138367302
36	0.4097259375
37	0.4055090464
38	0.4027027546
39	0.3999225866
40	0.3969523012
41	0.3931246835
42	0.390652276
43	0.3877260948
44	0.3847616839
45	0.3819160446
46	0.3796579854
47	0.3769736876
48	0.3746898941
49	0.3724358319
50	0.3696558587
51	0.3674576069
52	0.3652467778
53	0.3625460521
54	0.3603034413
55	0.3583021032
56	0.3565749993
57	0.354326396
58	0.3524577458
59	0.3500686394
60	0.3480323562
61	0.3464764111
62	0.3447619403
63	0.3432875197
64	0.3415661833
65	0.340007195
66	0.338083566
67	0.3363895304
68	0.3351305926
69	0.3336857532
70	0.3324352396
71	0.3311847333
72	0.3298222094
73	0.3280671541
74	0.3267764203
75	0.3255190537
76	0.3242271829
77	0.322975081
78	0.3213980955
79	0.320365097
80	0.3195101429
81	0.3184700617
82	0.3169726402
83	0.3158393531
84	0.3149324307
85	0.3138272941
86	0.3126290322
87	0.3118525102
88	0.3103791755
89	0.3093489561
90	0.3080614641
91	0.3069776687
92	0.3058670173
93	0.3049711892
94	0.3041619258
95	0.3032668164
96	0.3024868021
97	0.3016085492
98	0.3005325802
99	0.2997229774
100	0.2986795124
101	0.2977082705
102	0.2971269798
103	0.2964243373
104	0.295291713
105	0.2940554906
106	0.2929795315
107	0.2918134204
108	0.2912249342
109	0.2908284621
110	0.2899065082
111	0.2888931223
112	0.2882181717
113	0.2876693588
114	0.2862101602
115	0.2847987841
116	0.2838275567
117	0.2832117035
118	0.2826214116
119	0.2820421926
120	0.2811229743
121	0.2806277687
122	0.2802235871
123	0.2793948554
124	0.2788536775
125	0.2781573266
126	0.2771620672
127	0.2763974299
128	0.2754365965
129	0.2749342244
130	0.2741417578
131	0.2736310787
132	0.2730393197
133	0.2724611395
134	0.2718567392
135	0.2709754947
136	0.2701745574
137	0.269302334
138	0.2687433866
139	0.268135418
140	0.2675540399
141	0.2671792944
142	0.2667343579
143	0.2661130495
144	0.2655172287
145	0.2651542712
146	0.2643340288
147	0.2638991761
148	0.2636432872
149	0.2632776642
150	0.2626839691
151	0.2622852747
152	0.2618537551
153	0.2614927726
154	0.2608966549
